Local Market [LM],Final Distribution Point [FDP],Cost ($/mt),Lead Time (days)
Fake Market (C&V),Aleppo,0,0
Fake Market (C&V),Damascus City,0,0
Fake Market (C&V),Dara'a,0,0
Fake Market (C&V),Deir Ezzor,0,0
Fake Market (C&V),Hama,0,0
Fake Market (C&V),Hassakeh,0,0
Fake Market (C&V),Homs,0,0
Fake Market (C&V),Idleb,0,0
Fake Market (C&V),Lattakia,0,0
Fake Market (C&V),Qunaitra,0,0
Fake Market (C&V),Raqqa,0,0
Fake Market (C&V),Rural Damascus,0,0
Fake Market (C&V),Swaida,0,0
Fake Market (C&V),Tartous,0,0
