Location,Month,MinDelay,ExpDelay,MaxDelay,MAD,RealMinDelay,RealExpDelay,RealMaxDelay
ABIDJAN,Jan,-17.339872,-8.845462,-0.35105172,3.4580017,0,0,0
ABIDJAN,Feb,-6.9944102,1.5,9.9944102,3.4580017,0,1.5,9.9944102
ABIDJAN,Mar,-3.4944102,5,13.49441,3.4580017,0,5,13.49441
ABIDJAN,Apr,0.58541619,9.0798264,17.574237,3.4580017,0.58541619,9.0798264,17.574237
ABIDJAN,May,1.2198755,9.7142857,18.208696,3.4580017,1.2198755,9.7142857,18.208696
ABIDJAN,Jun,2.1857248,10.680135,19.174545,3.4580017,2.1857248,10.680135,19.174545
ABIDJAN,Jul,-6.7671375,1.7272727,10.221683,3.4580017,0,1.7272727,10.221683
ABIDJAN,Aug,1.4222564,9.9166667,18.411077,3.4580017,1.4222564,9.9166667,18.411077
ABIDJAN,Sep,-3.1586336,5.3357766,13.830187,3.4580017,0,5.3357766,13.830187
ABIDJAN,Oct,16.544597,25.039008,33.533418,3.4580017,16.544597,25.039008,33.533418
ABIDJAN,Nov,17.934161,26.428571,34.922982,3.4580017,17.934161,26.428571,34.922982
ABIDJAN,Dec,15.127812,23.622222,32.116632,3.4580017,15.127812,23.622222,32.116632
ADEN,Jan,5.2512508,17.333333,29.415416,4.9185124,5.2512508,17.333333,29.415416
ADEN,Feb,-3.5820825,8.5,20.582082,4.9185124,0,8.5,20.582082
ADEN,Mar,-2.4154158,9.6666667,21.748749,4.9185124,0,9.6666667,21.748749
ADEN,Apr,4.9179175,17,29.082082,4.9185124,4.9179175,17,29.082082
ADEN,May,2.3464889,14.428571,26.510654,4.9185124,2.3464889,14.428571,26.510654
ADEN,Jun,7.0106388,19.092721,31.174804,4.9185124,7.0106388,19.092721,31.174804
ADEN,Jul,-7.8775668,4.2045157,16.286598,4.9185124,0,4.2045157,16.286598
ADEN,Aug,1.5845842,13.666667,25.748749,4.9185124,1.5845842,13.666667,25.748749
ADEN,Sep,5.2036308,17.285713,29.367796,4.9185124,5.2036308,17.285713,29.367796
ADEN,Oct,5.6679175,17.75,29.832082,4.9185124,5.6679175,17.75,29.832082
ADEN,Nov,3.9179175,16,28.082082,4.9185124,3.9179175,16,28.082082
ADEN,Dec,1.9179175,14,26.082082,4.9185124,1.9179175,14,26.082082
ASHDOD,Jan,-2.1098339,-1.204377,-0.29892004,0.36860376,0,0,0
ASHDOD,Feb,-1.4350991,-0.52964218,0.37581474,0.36860376,0,0,0.37581474
ASHDOD,Mar,-0.4251893,0.48026763,1.3857246,0.36860376,0,0.48026763,1.3857246
ASHDOD,Apr,-0.10131604,0.80414088,1.7095978,0.36860376,0,0.80414088,1.7095978
ASHDOD,May,-0.08115186,0.82430506,1.729762,0.36860376,0,0.82430506,1.729762
ASHDOD,Jun,0.52704446,1.4325014,2.3379583,0.36860376,0.52704446,1.4325014,2.3379583
ASHDOD,Jul,-1.7182705,-0.81281361,0.09264331,0.36860376,0,0,0.09264331
ASHDOD,Aug,-0.27474872,0.63070821,1.5361651,0.36860376,0,0.63070821,1.5361651
ASHDOD,Sep,0.16931981,1.0747767,1.9802337,0.36860376,0.16931981,1.0747767,1.9802337
ASHDOD,Oct,-0.15364047,0.75181645,1.6572734,0.36860376,0,0.75181645,1.6572734
ASHDOD,Nov,-0.5313502,0.37410673,1.2795637,0.36860376,0,0.37410673,1.2795637
ASHDOD,Dec,-1.9001694,-0.99471245,-0.08925553,0.36860376,0,0,0
BEIRUT,Jan,-5.4257917,-1.8933902,1.6390113,1.4380104,0,0,1.6390113
BEIRUT,Feb,-11.325608,-7.7932068,-4.2608053,1.4380104,0,0,0
BEIRUT,Mar,-4.8507135,-1.318312,2.2140895,1.4380104,0,0,2.2140895
BEIRUT,Apr,-2.5929213,0.93948017,4.4718817,1.4380104,0,0.93948017,4.4718817
BEIRUT,May,-5.4199108,-1.8875093,1.6448922,1.4380104,0,0,1.6448922
BEIRUT,Jun,-2.2713575,1.261044,4.7934455,1.4380104,0,1.261044,4.7934455
BEIRUT,Jul,-1.2283748,2.3040267,5.8364282,1.4380104,0,2.3040267,5.8364282
BEIRUT,Aug,-4.9479764,-1.4155749,2.1168266,1.4380104,0,0,2.1168266
BEIRUT,Sep,-6.6220586,-3.0896571,0.44274436,1.4380104,0,0,0.44274436
BEIRUT,Oct,-3.2975606,0.23484087,3.7672424,1.4380104,0,0.23484087,3.7672424
BEIRUT,Nov,-8.878674,-5.3462725,-1.8138711,1.4380104,0,0,0
BEIRUT,Dec,-6.1544457,-2.6220442,0.9103573,1.4380104,0,0,0.9103573
CHITTAGONG,Jan,9.0910697,11.761905,14.43274,1.0872741,9.0910697,11.761905,14.43274
CHITTAGONG,Feb,8.6824823,11.353317,14.024152,1.0872741,8.6824823,11.353317,14.024152
CHITTAGONG,Mar,6.467096,9.137931,11.808766,1.0872741,6.467096,9.137931,11.808766
CHITTAGONG,Apr,8.4402761,11.111111,13.781946,1.0872741,8.4402761,11.111111,13.781946
CHITTAGONG,May,4.9436533,7.6144884,10.285323,1.0872741,4.9436533,7.6144884,10.285323
CHITTAGONG,Jun,7.4291649,10.1,12.770835,1.0872741,7.4291649,10.1,12.770835
CHITTAGONG,Jul,10.420074,13.090909,15.761744,1.0872741,10.420074,13.090909,15.761744
CHITTAGONG,Aug,9.7291649,12.4,15.070835,1.0872741,9.7291649,12.4,15.070835
CHITTAGONG,Sep,11.579165,14.25,16.920835,1.0872741,11.579165,14.25,16.920835
CHITTAGONG,Oct,11.867626,14.538462,17.209297,1.0872741,11.867626,14.538462,17.209297
CHITTAGONG,Nov,10.539691,13.210526,15.881361,1.0872741,10.539691,13.210526,15.881361
CHITTAGONG,Dec,18.551387,21.222222,23.893057,1.0872741,18.551387,21.222222,23.893057
COLOMBO,Jan,-0.45386736,6.3091658,13.072199,2.7531729,0,6.3091658,13.072199
COLOMBO,Feb,-9.4177714,-2.6547383,4.1082949,2.7531729,0,0,4.1082949
COLOMBO,Mar,-3.083785,3.6792481,10.442281,2.7531729,0,3.6792481,10.442281
COLOMBO,Apr,-0.43700143,6.3260317,13.089065,2.7531729,0,6.3260317,13.089065
COLOMBO,May,-11.775867,-5.0128343,1.7501988,2.7531729,0,0,1.7501988
COLOMBO,Jun,-11.604199,-4.841166,1.9218672,2.7531729,0,0,1.9218672
COLOMBO,Jul,-5.7625864,1.0004467,7.7634799,2.7531729,0,1.0004467,7.7634799
COLOMBO,Aug,-78.945786,-72.182753,-65.41972,2.7531729,0,0,0
COLOMBO,Sep,-0.76303316,6,12.763033,2.7531729,0,6,12.763033
COLOMBO,Oct,-8.2130885,-1.4500553,5.3129778,2.7531729,0,0,5.3129778
COLOMBO,Nov,-78.945786,-72.182753,-65.41972,2.7531729,0,0,0
COLOMBO,Dec,-10.419518,-3.6564848,3.1065484,2.7531729,0,0,3.1065484
CONAKRY,Jan,6.1525391,11.45927,16.766,2.1603246,6.1525391,11.45927,16.766
CONAKRY,Feb,-6.8071033,-1.5003726,3.806358,2.1603246,0,0,3.806358
CONAKRY,Mar,-3.7522482,1.5544825,6.8612132,2.1603246,0,1.5544825,6.8612132
CONAKRY,Apr,2.22706,7.5337907,12.840521,2.1603246,2.22706,7.5337907,12.840521
CONAKRY,May,7.1478148,12.454545,17.761276,2.1603246,7.1478148,12.454545,17.761276
CONAKRY,Jun,7.7234934,13.030224,18.336955,2.1603246,7.7234934,13.030224,18.336955
CONAKRY,Jul,10.238724,15.545455,20.852185,2.1603246,10.238724,15.545455,20.852185
CONAKRY,Aug,2.7472032,8.0539339,13.360665,2.1603246,2.7472032,8.0539339,13.360665
CONAKRY,Sep,11.693269,17,22.306731,2.1603246,11.693269,17,22.306731
CONAKRY,Oct,6.1377138,11.444444,16.751175,2.1603246,6.1377138,11.444444,16.751175
CONAKRY,Nov,1.9432693,7.25,12.556731,2.1603246,1.9432693,7.25,12.556731
CONAKRY,Dec,7.4080451,12.714776,18.021506,2.1603246,7.4080451,12.714776,18.021506
COTONOU,Jan,1.5064359,5.7444573,9.9824786,1.7252622,1.5064359,5.7444573,9.9824786
COTONOU,Feb,-2.9657955,1.2722259,5.5102472,1.7252622,0,1.2722259,5.5102472
COTONOU,Mar,-6.3022875,-2.0642661,2.1737552,1.7252622,0,0,2.1737552
COTONOU,Apr,-4.46761,-0.22958869,4.0084327,1.7252622,0,0,4.0084327
COTONOU,May,-0.92311706,3.3149043,7.5529256,1.7252622,0,3.3149043,7.5529256
