Commodity,Specific Commodity,ENERGY (kcal),PROTEIN (g),FAT    (g),CALCIUM (mg),IRON (mg),IODINE (µg),VIT. A (µg RE),THIAMINE (mg),RIBOFLAVIN (mg),NIACIN (mg),VIT. C (mg),Food Type,FCS Group
Barley (CEREALS & GRAINS),BARLEY,337,12.48,2.3,33,3.6,0,6.606606607,0.646,0.285,8.070666667,0,(CEREALS & GRAINS),Main staples
Beans (PULSES & VEGETABLES),WHITE BEANS,335,22.3,1.3,155,6.4,0,1,0.65,0.23,6.463,3,(PULSES & VEGETABLES),Pulses
Beans (PULSES & VEGETABLES),SOYA BEANS,416,36.49,19.94,277,15.7,6,7.2,0.874,0.87,10.43,6,(PULSES & VEGETABLES),Pulses
Beans (PULSES & VEGETABLES),RED BEANS (SMALL KIDNEY),333,23.6,0.8,143,8.2,0,2,0.5,0.2,6.56,5,(PULSES & VEGETABLES),Pulses
Beans (PULSES & VEGETABLES),RED BEANS (DARK KIDNEY),333,23.6,0.8,143,8.2,0,2,0.5,0.2,6.56,5,(PULSES & VEGETABLES),Pulses
Beans (PULSES & VEGETABLES),RED BEANS,333,23.6,0.8,143,8.2,0,2,0.5,0.2,6.56,5,(PULSES & VEGETABLES),Pulses
Beans (PULSES & VEGETABLES),PINTO BEANS,340,20.9,1.1,121,5.9,0,2,0.6,0.2,5.56,7.3,(PULSES & VEGETABLES),Pulses
Beans (PULSES & VEGETABLES),NAVY BEANS (WHITE PEA),335,22.3,1.3,155,6.4,0,1,0.65,0.23,6.463,3,(PULSES & VEGETABLES),Pulses
Beans (PULSES & VEGETABLES),MUNG BEANS,347,23.86,1.15,132,6.74,0,6,0.621,0.233,2.251,4.8,(PULSES & VEGETABLES),Pulses
Beans (PULSES & VEGETABLES),HORSE BEANS,341,26.12,1.53,103,6.7,0,3,0.555,0.333,2.832,1.4,(PULSES & VEGETABLES),Pulses
Beans (PULSES & VEGETABLES),GREAT NORTHERN BEANS,339,21.9,1.1,175,5.5,0,1,0.7,0.2,6.27,5.3,(PULSES & VEGETABLES),Pulses
Beans (PULSES & VEGETABLES),FAVA BEANS,341,26.12,1.53,103,6.7,0,3,0.555,0.333,2.832,1.4,(PULSES & VEGETABLES),Pulses
Beans (PULSES & VEGETABLES),BLACK BEANS,341,21.6,1.42,123,5,0,5.1,0.8,0.193,6.22,0,(PULSES & VEGETABLES),Pulses
Beans (PULSES & VEGETABLES),BEANS,335,20,1.2,143,8.2,0,0,0.5,0.22,6.2,0,(PULSES & VEGETABLES),Pulses
Biscuits (MIXED & BLENDED FOODS),BISCUITS,365,6.2,16.5,49,3.3,0,0,0.4,0.3,3.4,0,(MISCELLANEOUS),Other
Bulgur Wheat (CEREALS & GRAINS),BULGUR WHEAT (COARSE),350,11,1.5,29,3.7,0,0,0.28,0.14,4.5,0,(CEREALS & GRAINS),Main staples
Bulgur Wheat (CEREALS & GRAINS),BULGUR WHEAT,350,11,1.5,29,3.7,0,0,0.28,0.14,4.5,0,(CEREALS & GRAINS),Main staples
Canned Chicken (MEAT),CANNED CHICKEN,184,25.3,8.1,14,1.3,0,53,0,0.1,2.4,0,(MEAT),Meat and fish
Canned Pulses (PULSES & VEGETABLES),CANNED PULSES,150.04,11.4928,0.6732,45.32,2.948,0,1.32,0.2442,0.14652,1.24608,0.616,(PULSES & VEGETABLES),Pulses
