Load Port [LP],Lead Time (days)
CEBU (PHILIPPINES),60
ILOILO (PHILIPPINES),5
TRIPOLI (LIBYA),2
TRIPOLI (LEBANON),2
UMM QASR (IRAQ),2
ESMERALDAS (ECUADOR),16
MERSIN (TURKEY),12
DAVAO (PHILIPPINES),7
JEBEL ALI (UTD.ARAB EMIR.),2
BEIRUT (LEBANON),4
POLLOC (PHILIPPINES),8
PORT QASIM (PAKISTAN),2
CALCUTTA (INDIA),3
DUBAI (UTD.ARAB EMIR.),2
QINGDAO (CHINA),46
LAEM CHABANG (THAILAND),5
GENERAL SANTOS CITY (PHILIPPINES),22
SFAX (TUNISIA),3
MATADI (DEM. REP. CONGO),2
DAR-ES-SALAAM (TANZANIA),123
CHONGJIN (DPR KOREA),5
HUNGNAM (DPR KOREA),4
NAMPO (DPR KOREA),8
BENGHAZI (LIBYA),19
RIO HAINA (DOMINICAN REP.),39
CAUCEDO (DOMINICAN REP.),5
POINTE NOIRE (CONGO (BRAZZAV)),98
BISSAU (GUINEA-BISSAU),25
ABIDJAN (CÔTE D'IVOIRE),13
DURBAN (SOUTH AFRICA),9
FREETOWN (SIERRA LEONE),6
DILI (TIMOR-LESTE),2
MANILA (PHILIPPINES),6
ACAJUTLA (EL SALVADOR),4
NACALA (MOZAMBIQUE),2
MAPUTO (MOZAMBIQUE),8
BEIRA (MOZAMBIQUE),2
NOUAKCHOTT (MAURITANIA),32
TOLAGNARO (MADAGASCAR),13
TOAMASINA (MADAGASCAR),12
PRAIA (CAPE VERDE),10
CHITTAGONG (BANGLADESH),15
TRINCOMALEE (SRI LANKA),4
COLOMBO (SRI LANKA),6
CORINTO (NICARAGUA),8
SURABAYA (INDONESIA),8
STO TOMAS CASTL (GUATEMALA),2
BANGKOK (THAILAND),4
KARACHI (PAKISTAN),2
GWADAR (PAKISTAN),4
DJIBOUTI (DJIBOUTI),10
BARRANQUILLA (COLOMBIA),11
CARTAGENA (SPAIN),26
CARTAGENA (COLOMBIA),26
DOUALA (CAMEROON),4
SIHANOUKVILLE (CAMBODIA),3
MOGADISHU (SOMALIA),51
BERBERA (SOMALIA),31
DAKAR (SENEGAL),8
WALVIS BAY (NAMIBIA),13
YANGON (MYANMAR),12
MONROVIA (LIBERIA),2
POTI (GEORGIA),8
GUAYAQUIL (ECUADOR),3
ORAN (ALGERIA),6
RIGA (LATVIA),14
ASHDOD (ISRAEL),4
CONAKRY (GUINEA),16
BANJUL (GAMBIA),8
LOBITO (ANGOLA),2
HODEIDAH (YEMEN),39
ADEN (YEMEN),18
LATTAKIA (SYRIA),3
TARTOUS (SYRIA),3
PORT SUDAN (SUDAN),4
MOMBASA (KENYA),6
PORT-AU-PRINCE (HAITI),4
CAP HAITIEN (HAITI),14
JACMEL (HAITI),17
TEMA (GHANA),11
ALEXANDRIA (EGYPT),21
DALIAN (CHINA),2
COTONOU (BENIN),19
CALLAO (PERU),2
BANDAR'ABBAS (IRAN),44
HAVANA (CUBA),2
