Origin Country,Named Delivery Place [NDP],Incoterm,Commodity,Specific Commodity,GMO,Packaging Type,Price      ($/mt),Last Updated,Capacity (mt),Lead Time (days),Source
ARGENTINA,ASUNCION (PARAGUAY),DAP,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),Non GMO,Bag,0,41235,100000,60,OSP
NAMIBIA,OTAVI (NAMIBIA),DAP,Maize Meal (FOOD - CEREALS & GRAINS),MAIZE MEAL,Non GMO,Bag,540,41243,100000,60,OSP
LESOTHO,MASERU (LESOTHO),FCA,Maize Meal (FOOD - CEREALS & GRAINS),MAIZE MEAL,Non GMO,Bag,0,41299,100000,60,OSP
EL SALVADOR,LA LIBERTAD (EL SALVADOR),DAP,Maize (FOOD - CEREALS & GRAINS),MAIZE,Non GMO,Bag,0,41541,100000,60,OSP
INDIA,NEPALGUNJ (NEPAL),FCA,Rice (FOOD - CEREALS & GRAINS),25% BROKEN RICE,Non GMO,Bag,817,41557,100000,60,OSP
MEXICO,VERACRUZ (MEXICO),FOB,Rice (FOOD - CEREALS & GRAINS),5% BROKEN RICE,Non GMO,Bag,0,41697,100000,60,OSP
CHILE,LIRQUEN (CHILE),FOB,Rice (FOOD - CEREALS & GRAINS),PARBOILED RICE,Non GMO,Bag,0,41697,100000,60,OSP
TURKEY,MERSIN (TURKEY),FOB,Beans (FOOD - PULSES & VEGETABLES),HORSE BEANS,Non GMO,Bag,500,41704,100000,60,OSP
CHILE,LIRQUEN (CHILE),FOB,Beans (FOOD - PULSES & VEGETABLES),BLACK BEANS,Non GMO,Bag,0,41743,100000,60,OSP
GUATEMALA,CAUCEDO (DOMINICAN REP.),CFR,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),GMO,Bag,0,41743,100000,60,OSP
CHINA,XIAMEN (CHINA),FOB,Canned Fish (FOOD - FISH),CANNED FISH,Non GMO,Can,1850,41876,100000,60,OSP
GUATEMALA,LOS AMATES (GUATEMALA),DAP,Corn Soya Blend (FOOD - MIXED & BLENDED FOODS),SUPER CEREAL (CSB+),Non GMO,Bag,0,41886,100000,60,OSP
EL SALVADOR,ZAPOTITAN (EL SALVADOR),DAP,Beans (FOOD - PULSES & VEGETABLES),RED BEANS,Non GMO,Bag,0,41886,100000,60,OSP
CHILE,LIRQUEN (CHILE),FOB,Rice (FOOD - CEREALS & GRAINS),5% BROKEN RICE,Non GMO,Bag,0,41915,100000,60,OSP
HONDURAS,COMAYAGUA (HONDURAS),DAP,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,370.42,42013,100000,40,OSP
EL SALVADOR,SAN SALVADOR (EL SALVADOR),DAP,Beans (FOOD - PULSES & VEGETABLES),BEANS,Non GMO,Bag,1700,42324,100000,60,OSP
HONDURAS,SAN PEDRO SULA (HONDURAS),DAP,Maize (FOOD - CEREALS & GRAINS),WHITE MAIZE,Non GMO,Bag,424.45,42352,100000,60,OSP
ZAMBIA,LUSAKA (ZAMBIA),FCA,Wheat (FOOD - CEREALS & GRAINS),WHEAT,Non GMO,Bag,0,42384,100000,60,OSP
ARGENTINA,ROSARIO (ARGENTINA),FOB,Rice (FOOD - CEREALS & GRAINS),20% BROKEN RICE,Non GMO,Bag,400,42387,100000,60,OSP
TURKEY,DUHOK (IRAQ),DAP,Bulgur Wheat (FOOD - CEREALS & GRAINS),BULGUR WHEAT,Non GMO,Bag,415,42390,100000,60,OSP
ECUADOR,GUAYAQUIL (ECUADOR),FOB,Canned Fish (FOOD - FISH),CANNED FISH,Non GMO,Carton,32,42395,100000,60,OSP
SWAZILAND,MATSAPHA (SWAZILAND),FCA,Rice (FOOD - CEREALS & GRAINS),RICE,Non GMO,Bag,519,42405,100000,60,OSP
