Load Port [LP],Discharge Port [DP],Specific Commodity,Cost ($/mt),Lead Time (days),Source
ALEXANDRIA (EGYPT),LATTAKIA (SYRIA),SUNFLOWER OIL,38,6,OSLS
ALEXANDRIA (EGYPT),LATTAKIA (SYRIA),SPLIT RED LENTILS,38,6,OSLS
ALEXANDRIA (EGYPT),LATTAKIA (SYRIA),WHOLE RED LENTILS,38,6,OSLS
ALEXANDRIA (EGYPT),LATTAKIA (SYRIA),CHICKPEAS,38,6,OSLS
ALEXANDRIA (EGYPT),LATTAKIA (SYRIA),WHITE BEANS,38,6,OSLS
ALEXANDRIA (EGYPT),LATTAKIA (SYRIA),WHEAT FLOUR,38,6,OSLS
ALEXANDRIA (EGYPT),LATTAKIA (SYRIA),RICE,38,6,OSLS
ALEXANDRIA (EGYPT),LATTAKIA (SYRIA),BULGUR WHEAT,38,6,OSLS
ALEXANDRIA (EGYPT),LATTAKIA (SYRIA),WHITE SUGAR,38,6,OSLS
ALEXANDRIA (EGYPT),LATTAKIA (SYRIA),IODISED SALT,38,6,OSLS
ALEXANDRIA (EGYPT),TARTOUS (SYRIA),SUNFLOWER OIL,38,6,OSLS
ALEXANDRIA (EGYPT),TARTOUS (SYRIA),SPLIT RED LENTILS,38,6,OSLS
ALEXANDRIA (EGYPT),TARTOUS (SYRIA),WHOLE RED LENTILS,38,6,OSLS
ALEXANDRIA (EGYPT),TARTOUS (SYRIA),CHICKPEAS,38,6,OSLS
ALEXANDRIA (EGYPT),TARTOUS (SYRIA),WHITE BEANS,38,6,OSLS
ALEXANDRIA (EGYPT),TARTOUS (SYRIA),WHEAT FLOUR,38,6,OSLS
ALEXANDRIA (EGYPT),TARTOUS (SYRIA),RICE,38,6,OSLS
ALEXANDRIA (EGYPT),TARTOUS (SYRIA),BULGUR WHEAT,38,6,OSLS
ALEXANDRIA (EGYPT),TARTOUS (SYRIA),WHITE SUGAR,38,6,OSLS
ALEXANDRIA (EGYPT),TARTOUS (SYRIA),IODISED SALT,38,6,OSLS
ALEXANDRIA (EGYPT),BEIRUT (LEBANON),SUNFLOWER OIL,26,6,OSLS
ALEXANDRIA (EGYPT),BEIRUT (LEBANON),SPLIT RED LENTILS,26,6,OSLS
ALEXANDRIA (EGYPT),BEIRUT (LEBANON),WHOLE RED LENTILS,26,6,OSLS
ALEXANDRIA (EGYPT),BEIRUT (LEBANON),CHICKPEAS,26,6,OSLS
ALEXANDRIA (EGYPT),BEIRUT (LEBANON),WHITE BEANS,26,6,OSLS
ALEXANDRIA (EGYPT),BEIRUT (LEBANON),WHEAT FLOUR,26,6,OSLS
ALEXANDRIA (EGYPT),BEIRUT (LEBANON),RICE,26,6,OSLS
ALEXANDRIA (EGYPT),BEIRUT (LEBANON),BULGUR WHEAT,26,6,OSLS
ALEXANDRIA (EGYPT),BEIRUT (LEBANON),WHITE SUGAR,26,6,OSLS
ALEXANDRIA (EGYPT),BEIRUT (LEBANON),IODISED SALT,26,6,OSLS
ANTWERP (BELGIUM),LATTAKIA (SYRIA),SUNFLOWER OIL,37,17,OSLS
ANTWERP (BELGIUM),LATTAKIA (SYRIA),SPLIT RED LENTILS,37,17,OSLS
ANTWERP (BELGIUM),LATTAKIA (SYRIA),WHOLE RED LENTILS,37,17,OSLS
ANTWERP (BELGIUM),LATTAKIA (SYRIA),CHICKPEAS,37,17,OSLS
ANTWERP (BELGIUM),LATTAKIA (SYRIA),WHITE BEANS,37,17,OSLS
ANTWERP (BELGIUM),LATTAKIA (SYRIA),WHEAT FLOUR,37,17,OSLS
ANTWERP (BELGIUM),LATTAKIA (SYRIA),RICE,37,17,OSLS
ANTWERP (BELGIUM),LATTAKIA (SYRIA),BULGUR WHEAT,37,17,OSLS
ANTWERP (BELGIUM),LATTAKIA (SYRIA),WHITE SUGAR,37,17,OSLS
ANTWERP (BELGIUM),LATTAKIA (SYRIA),IODISED SALT,37,17,OSLS
ANTWERP (BELGIUM),TARTOUS (SYRIA),SUNFLOWER OIL,31,18,OSLS
