Load Port [LP],Discharge Port [DP],Lead Time (days)
AARHUS (DENMARK),DJIBOUTI (DJIBOUTI),44
AARHUS (DENMARK),PORT QASIM (PAKISTAN),32
AARHUS (DENMARK),CALCUTTA (INDIA),38
AARHUS (DENMARK),TEMA (GHANA),42
AARHUS (DENMARK),PORT SUDAN (SUDAN),33
AARHUS (DENMARK),LOME (TOGO),36
AARHUS (DENMARK),FREETOWN (SIERRA LEONE),44
AARHUS (DENMARK),TOAMASINA (MADAGASCAR),53
AARHUS (DENMARK),SIHANOUKVILLE (CAMBODIA),36
AARHUS (DENMARK),RIGA (LATVIA),8
AARHUS (DENMARK),ORAN (ALGERIA),11
AARHUS (DENMARK),DOUALA (CAMEROON),40
AARHUS (DENMARK),COTONOU (BENIN),56
AARHUS (DENMARK),CORINTO (NICARAGUA),53
AARHUS (DENMARK),CONAKRY (GUINEA),35
AARHUS (DENMARK),BANJUL (GAMBIA),23
AARHUS (DENMARK),BEIRA (MOZAMBIQUE),41
ABIDJAN (CÔTE D'IVOIRE),DAKAR (SENEGAL),4
AD DAMMAM (SAUDI ARABIA),DJIBOUTI (DJIBOUTI),21
AD DAMMAM (SAUDI ARABIA),BEIRUT (LEBANON),30
AD DAMMAM (SAUDI ARABIA),CORINTO (NICARAGUA),59
AD DAMMAM (SAUDI ARABIA),CHITTAGONG (BANGLADESH),38
AD DAMMAM (SAUDI ARABIA),MANILA (PHILIPPINES),43
AD DAMMAM (SAUDI ARABIA),COLOMBO (SRI LANKA),36
AD DAMMAM (SAUDI ARABIA),TEMA (GHANA),58
AD DAMMAM (SAUDI ARABIA),PORT QASIM (PAKISTAN),135
AD DAMMAM (SAUDI ARABIA),BISSAU (GUINEA-BISSAU),71
AD DAMMAM (SAUDI ARABIA),HODEIDAH (YEMEN),31
AD DAMMAM (SAUDI ARABIA),ORAN (ALGERIA),39
AD DAMMAM (SAUDI ARABIA),ADEN (YEMEN),30
AD DAMMAM (SAUDI ARABIA),LOME (TOGO),63
AD DAMMAM (SAUDI ARABIA),ABIDJAN (CÔTE D'IVOIRE),58
AD DAMMAM (SAUDI ARABIA),DAR-ES-SALAAM (TANZANIA),31
AD DAMMAM (SAUDI ARABIA),NOUAKCHOTT (MAURITANIA),63
AD DAMMAM (SAUDI ARABIA),MOMBASA (KENYA),25
AD DAMMAM (SAUDI ARABIA),KARACHI (PAKISTAN),3
AD DAMMAM (SAUDI ARABIA),FREETOWN (SIERRA LEONE),48
AD DAMMAM (SAUDI ARABIA),DOUALA (CAMEROON),71
AD DAMMAM (SAUDI ARABIA),COTONOU (BENIN),80
AD DAMMAM (SAUDI ARABIA),CONAKRY (GUINEA),84
AD DAMMAM (SAUDI ARABIA),ALEXANDRIA (EGYPT),32
ALEXANDRIA (EGYPT),DJIBOUTI (DJIBOUTI),29
ALEXANDRIA (EGYPT),LATTAKIA (SYRIA),9
ALEXANDRIA (EGYPT),AQABA (JORDAN),45
ALEXANDRIA (EGYPT),TARTOUS (SYRIA),10
ALEXANDRIA (EGYPT),BEIRUT (LEBANON),6
ALEXANDRIA (EGYPT),HODEIDAH (YEMEN),34
ALEXANDRIA (EGYPT),SFAX (TUNISIA),22
ALEXANDRIA (EGYPT),MISURATA (LIBYA),6
ALEXANDRIA (EGYPT),ORAN (ALGERIA),21
ALIAGA (TURKEY),PORT-AU-PRINCE (HAITI),42
ALIAGA (TURKEY),PUERTO CORTEZ (HONDURAS),35
ALIAGA (TURKEY),FREETOWN (SIERRA LEONE),41
ALIAGA (TURKEY),LATTAKIA (SYRIA),18
ALIAGA (TURKEY),TARTOUS (SYRIA),18
ALIAGA (TURKEY),PORT SUDAN (SUDAN),17
ALIAGA (TURKEY),BEIRUT (LEBANON),16
ALIAGA (TURKEY),BANDAR'ABBAS (IRAN),19
