Period,Type 1,Item,Type 2,Nutrient,Value
Apr-17,Commodity,IODISED SALT,Macro, g/p/d,5.0
Apr-17,Commodity,IODISED SALT,Macro,ENERGY (kcal),0.0
Apr-17,Commodity,IODISED SALT,Macro,PROTEIN (g),0.0
Apr-17,Commodity,IODISED SALT,Macro,FAT    (g),0.0
Apr-17,Commodity,IODISED SALT,Micro,CALCIUM (mg),0.0
Apr-17,Commodity,IODISED SALT,Micro,IRON (mg),0.0
Apr-17,Commodity,IODISED SALT,Micro,IODINE (µg),300.0
Apr-17,Commodity,IODISED SALT,Micro,VIT. A (µg RE),0.0
Apr-17,Commodity,IODISED SALT,Micro,THIAMINE (mg),0.0
Apr-17,Commodity,IODISED SALT,Micro,RIBOFLAVIN (mg),0.0
Apr-17,Commodity,IODISED SALT,Micro,NIACIN (mg),0.0
Apr-17,Commodity,IODISED SALT,Micro,VIT. C (mg),0.0
Apr-17,Commodity,SOYA BEAN OIL,Macro, g/p/d,20.88192
Apr-17,Commodity,SOYA BEAN OIL,Macro,ENERGY (kcal),184.59617280000003
Apr-17,Commodity,SOYA BEAN OIL,Macro,PROTEIN (g),0.0
Apr-17,Commodity,SOYA BEAN OIL,Macro,FAT    (g),20.88192
Apr-17,Commodity,SOYA BEAN OIL,Micro,CALCIUM (mg),0.0
Apr-17,Commodity,SOYA BEAN OIL,Micro,IRON (mg),0.02088192
Apr-17,Commodity,SOYA BEAN OIL,Micro,IODINE (µg),0.0
Apr-17,Commodity,SOYA BEAN OIL,Micro,VIT. A (µg RE),0.0
Apr-17,Commodity,SOYA BEAN OIL,Micro,THIAMINE (mg),0.0
Apr-17,Commodity,SOYA BEAN OIL,Micro,RIBOFLAVIN (mg),0.0
Apr-17,Commodity,SOYA BEAN OIL,Micro,NIACIN (mg),0.0
Apr-17,Commodity,SOYA BEAN OIL,Micro,VIT. C (mg),0.0
Apr-17,Commodity,SOYA BEANS,Macro, g/p/d,54.826966
Apr-17,Commodity,SOYA BEANS,Macro,ENERGY (kcal),228.08017855999998
Apr-17,Commodity,SOYA BEANS,Macro,PROTEIN (g),20.006359893400003
Apr-17,Commodity,SOYA BEANS,Macro,FAT    (g),10.932497020400001
Apr-17,Commodity,SOYA BEANS,Micro,CALCIUM (mg),151.87069582
Apr-17,Commodity,SOYA BEANS,Micro,IRON (mg),8.607833661999999
Apr-17,Commodity,SOYA BEANS,Micro,IODINE (µg),3.2896179599999997
Apr-17,Commodity,SOYA BEANS,Micro,VIT. A (µg RE),3.947541552
Apr-17,Commodity,SOYA BEANS,Micro,THIAMINE (mg),0.47918768284
Apr-17,Commodity,SOYA BEANS,Micro,RIBOFLAVIN (mg),0.4769946042
Apr-17,Commodity,SOYA BEANS,Micro,NIACIN (mg),5.718452553800001
